1024	179
1280	179
640	179
1152	269
1152	1299
1600	179
1280	179
640	149
832	139
1280	139
1280	139
1600	139
1600	139
1280	139
2048	139
2048	139
1600	139
2048	139
2048	139
2272	139
2272	139
2592	139
2592	139
1024	149
1280	149
2048	139
2272	149
2592	149
2816	149
3072	149
3072	149
3072	149
1024	149
1600	139
2592	139
3072	139
3264	139
3648	139
4000	399
2048	139
2816	139
3072	139
3264	399
2048	139
2272	139
2272	139
2592	139
3072	1299
2464	4499
3504	4499
3888	4499
3504	4499
4064	7999
4992	7999
5616	7999
3504	1299
3504	1299
3072	1299
3504	1299
3456	1299
3888	1299
3888	1299
4368	2499
2160	549
3072	549
2048	499
2272	499
2272	499
2592	149
3072	499
3648	499
4000	499
3264	139
1536	199
1856	384
1600	399
1600	199
1600	199
2048	399
2048	399
1600	199
2048	199
2592	399
2048	399
1600	199
1600	199
2816	399
2272	139
2272	139
2272	139
2272	139
2592	399
2592	149
3264	399
2592	399
3072	399
3264	399
2272	199
2048	199
3072	199
2048	199
2592	199
2048	199
2592	199
2272	199
3072	199
2592	199
2592	199
2592	199
3072	199
3072	199
2816	199
2816	199
2816	384
3072	384
3072	384
3264	384
3264	384
3648	199
4000	384
3264	299
3072	139
2560	249
2816	249
3072	249
2048	249
1600	249
2048	249
2560	249
2816	249
2816	249
3264	249
3072	299
3264	299
2560	329
3648	329
3648	329
3648	329
2816	329
3072	329
4000	329
2048	329
2048	329
2304	329
2304	329
2560	329
2560	329
2560	329
2560	329
2560	199
2816	329
3072	199
3072	329
3072	199
3072	329
3072	199
3072	249
3264	249
1280	249
1600	249
1600	249
1600	249
1600	249
1600	249
1600	249
1600	249
2048	249
640	249
2048	249
2048	249
2240	249
1280	249
1280	249
2560	249
640	249
1280	249
640	249
1280	249
2048	249
2304	249
2304	249
2304	249
2560	249
2816	249
2816	249
3040	549
2560	549
1600	229
1600	229
2560	159
2048	399
2048	399
640	229
640	229
1024	229
1152	229
1280	229
1280	229
2048	399
2304	129
2304	129
3008	4499
2400	169
2400	169
1280	169
1280	169
1280	169
1600	169
1600	169
1600	169
1600	169
1600	169
1600	199
2048	399
2400	169
2400	169
2832	169
2832	169
1280	169
2016	169
1600	169
1600	169
1600	169
1600	169
2048	169
2048	169
2816	169
2016	169
2272	169
2304	169
2592	169
2303	169
2592	169
2848	169
2848	169
3296	169
3296	169
3488	169
3488	169
2304	169
2592	169
4048	169
3488	169
2848	179
2848	199
2848	169
2848	169
2848	199
2304	169
2304	199
3296	199
2816	169
2816	169
2304	169
2592	199
2592	199
2816	169
3264	169
4000	199
2832	169
4048	169
2816	169
2832	169
2832	169
4048	169
3488	169
2832	169
2832	1699
2048	229
2272	229
2816	229
2272	229
2592	229
3072	229
2848	399
2832	399
2832	1699
4048	229
3264	399
3488	229
3488	229
2592	179
2592	179
3072	399
2592	179
2592	179
4256	1699
1280	169
1280	169
1280	169
1280	169
1800	169
1800	179
2400	169
1280	169
1280	179
1280	169
3040	1699
4256	1699
4256	1699
4256	1699
1632	179
2048	179
1632	179
1636	179
2048	179
2048	179
2080	179
2272	179
2272	179
2608	179
2608	179
1152	179
1152	179
1280	179
1152	179
1600	179
1600	179
1600	179
1600	179
2560	179
2560	179
2576	179
2320	179
2320	179
2080	179
2320	179
2576	179
2576	179
2576	179
2576	179
2800	179
2800	179
2848	179
3264	179
2320	179
2320	179
2608	179
2864	179
2864	179
2864	179
3096	179
2592	179
2592	179
3112	179
2032	14
2032	14
2096	129
2336	129
2336	129
2576	129
2690	129
2304	126
2572	126
2576	126
2848	126
2848	126
2848	126
2832	126
3072	126
3072	126
3264	126
1632	129
1632	129
2080	126
1632	129
1632	129
2032	126
0	129
2096	126
2032	126
2408	126
2560	126
1152	129
1152	129
1152	129
1152	129
1152	129
1280	129
1536	129
1536	129
1760	129
1792	129
1152	129
1760	129
1760	129
2160	129
1760	126
4536	129
1520	126
2008	126
1524	129
3060	129
1728	129
3040	129
1728	129
1728	129
3040	129
1728	129
3032	129
4500	129
4500	129
1280	129
1800	129
1800	129
2160	129
2160	129
2160	126
2580	126
2448	129
2032	126
2304	129
2304	129
2304	129
2576	126
2872	126
2304	296
1752	129
2448	129
2041	126
2304	126
2569	126
2592	126
3056	126
3296	146
3264	146
3280	146
640	129
3072	126
2592	146
3264	146
3648	129
2569	126
2569	126
2569	129
2832	129
3072	126
3264	146
4000	129
2848	129
2848	126
2304	126
3072	126
3072	126
2576	126
2576	126
2576	126
2872	126
3264	146
2048	169
2048	169
2048	169
2304	199
2272	169
2272	179
2048	1699
2048	1699
2048	1699
2048	1699
2272	1699
2560	1699
2560	1699
2048	229
2272	229
2816	509
1280	149
2240	249
2560	249
3136	269
2400	149
1280	249
3840	509
4224	509
3936	146
3648	509
512	229
1632	229
1600	99
1600	229
1600	229
640	229
2048	99
2048	229
2048	229
2048	229
2288	99
2272	229
2272	229
2272	229
2288	229
2288	229


2592
